x:  0.7 , xnext:  0.798
x:  0.798 , xnext:  0.6125448
x:  0.6125448 , xnext:  0.901867938373
x:  0.901867938373 , xnext:  0.336308208409
x:  0.336308208409 , xnext:  0.84817898999
x:  0.84817898999 , xnext:  0.489331285533
x:  0.489331285533 , xnext:  0.94956747842
x:  0.94956747842 , xnext:  0.181978512918
x:  0.181978512918 , xnext:  0.565676868267
x:  0.565676868267 , xnext:  0.933608886104
x:  0.933608886104 , xnext:  0.235536668789
x:  0.235536668789 , xnext:  0.68422475649
x:  0.68422475649 , xnext:  0.821032708565
x:  0.821032708565 , xnext:  0.558364400119
x:  0.558364400119 , xnext:  0.937055667835
x:  0.937055667835 , xnext:  0.22413290421
x:  0.22413290421 , xnext:  0.66080991275
x:  0.66080991275 , xnext:  0.851732653453
x:  0.851732653453 , xnext:  0.47987973388
x:  0.47987973388 , xnext:  0.948461664587
x:  0.948461664587 , xnext:  0.185752114505
x:  0.185752114505 , xnext:  0.574743412555
x:  0.574743412555 , xnext:  0.928771004663
x:  0.928771004663 , xnext:  0.25139061713
x:  0.25139061713 , xnext:  0.715134824046
x:  0.715134824046 , xnext:  0.774124628434
x:  0.774124628434 , xnext:  0.664451614727
x:  0.664451614727 , xnext:  0.847231532372
x:  0.847231532372 , xnext:  0.49183499912
x:  0.49183499912 , xnext:  0.94974666449
x:  0.94974666449 , xnext:  0.181366163563
x:  0.181366163563 , xnext:  0.564195417454
x:  0.564195417454 , xnext:  0.934340003836
x:  0.934340003836 , xnext:  0.233125292058
x:  0.233125292058 , xnext:  0.679355982991
x:  0.679355982991 , xnext:  0.827759439188
x:  0.827759439188 , xnext:  0.541780250087
x:  0.541780250087 , xnext:  0.94336676067
x:  0.94336676067 , xnext:  0.203018479025
x:  0.203018479025 , xnext:  0.614847509557
x:  0.614847509557 , xnext:  0.899878188284
x:  0.899878188284 , xnext:  0.34237025123
x:  0.34237025123 , xnext:  0.855580876751
x:  0.855580876751 , xnext:  0.469536512339
x:  0.469536512339 , xnext:  0.946473508494
x:  0.946473508494 , xnext:  0.192513343609
x:  0.192513343609 , xnext:  0.590717433338
x:  0.590717433338 , xnext:  0.918727319697
x:  0.918727319697 , xnext:  0.28373624061
x:  0.28373624061 , xnext:  0.772273948223
x:  0.772273948223 , xnext:  0.668294209051
x:  0.668294209051 , xnext:  0.842372824959
x:  0.842372824959 , xnext:  0.504567225172
x:  0.504567225172 , xnext:  0.949920733726
x:  0.949920733726 , xnext:  0.180771066781
x:  0.180771066781 , xnext:  0.562752975144
x:  0.562752975144 , xnext:  0.93503584362
x:  0.93503584362 , xnext:  0.23082649611
x:  0.23082649611 , xnext:  0.674673374253
x:  0.674673374253 , xnext:  0.834059006843
x:  0.834059006843 , xnext:  0.525937403799
x:  0.525937403799 , xnext:  0.94744355412
x:  0.94744355412 , xnext:  0.189218210331
x:  0.189218210331 , xnext:  0.582975780999
x:  0.582975780999 , xnext:  0.923837075117
x:  0.923837075117 , xnext:  0.267376108275
x:  0.267376108275 , xnext:  0.744367274995
x:  0.744367274995 , xnext:  0.723081612664
x:  0.723081612664 , xnext:  0.760891457547
x:  0.760891457547 , xnext:  0.69135546004
x:  0.69135546004 , xnext:  0.810855734069
x:  0.810855734069 , xnext:  0.582801107866
x:  0.582801107866 , xnext:  0.923947110837
x:  0.923947110837 , xnext:  0.267021619408
x:  0.267021619408 , xnext:  0.743740081872
x:  0.743740081872 , xnext:  0.724244935458
x:  0.724244935458 , xnext:  0.758913993901
x:  0.758913993901 , xnext:  0.695261466297
x:  0.695261466297 , xnext:  0.805117247162
x:  0.805117247162 , xnext:  0.59623316884
x:  0.59623316884 , xnext:  0.914808873417
x:  0.914808873417 , xnext:  0.296147674432
x:  0.296147674432 , xnext:  0.792088071569
x:  0.792088071569 , xnext:  0.625801322098
x:  0.625801322098 , xnext:  0.889861303962
x:  0.889861303962 , xnext:  0.372431021958
x:  0.372431021958 , xnext:  0.888159392197
x:  0.888159392197 , xnext:  0.377462687748
x:  0.377462687748 , xnext:  0.892941507003
x:  0.892941507003 , xnext:  0.363268493882
x:  0.363268493882 , xnext:  0.878957081892
x:  0.878957081892 , xnext:  0.404287814318
x:  0.404287814318 , xnext:  0.915188874545
x:  0.915188874545 , xnext:  0.294949154124
x:  0.294949154124 , xnext:  0.790225772301
x:  0.790225772301 , xnext:  0.629922204151
x:  0.629922204151 , xnext:  0.885856839301
x:  0.885856839301 , xnext:  0.384235098346
x:  0.384235098346 , xnext:  0.899074252671
x:  0.899074252671 , xnext:  0.344811015248
x:  0.344811015248 , xnext:  0.858482240245
x:  0.858482240245 , xnext:  0.461663837031
x:  0.461663837031 , xnext:  0.944415286714
x:  0.944415286714 , xnext:  0.199481201154
x:  0.199481201154 , xnext:  0.606816115853
x:  0.606816115853 , xnext:  0.906643206097
x:  0.906643206097 , xnext:  0.321636951153
x:  0.321636951153 , xnext:  0.829109166663
x:  0.829109166663 , xnext:  0.538411194391
x:  0.538411194391 , xnext:  0.944393404553
x:  0.944393404553 , xnext:  0.199555107562
x:  0.199555107562 , xnext:  0.606984893111
x:  0.606984893111 , xnext:  0.906506084055
x:  0.906506084055 , xnext:  0.322060653779
x:  0.322060653779 , xnext:  0.829682838453
x:  0.829682838453 , xnext:  0.536975058913
x:  0.536975058913 , xnext:  0.94480481107
x:  0.94480481107 , xnext:  0.198164984187
x:  0.198164984187 , xnext:  0.603803368271
x:  0.603803368271 , xnext:  0.909054470795
x:  0.909054470795 , xnext:  0.314162871705
x:  0.314162871705 , xnext:  0.818765334639
x:  0.818765334639 , xnext:  0.563876913443
x:  0.563876913443 , xnext:  0.93449501173
x:  0.93449501173 , xnext:  0.23261352217
x:  0.23261352217 , xnext:  0.6783169916
x:  0.6783169916 , xnext:  0.829171591926
x:  0.829171591926 , xnext:  0.538255039662
x:  0.538255039662 , xnext:  0.944438897374
x:  0.944438897374 , xnext:  0.199401452704
x:  0.199401452704 , xnext:  0.606633950782
x:  0.606633950782 , xnext:  0.906790962054
x:  0.906790962054 , xnext:  0.321180230125
x:  0.321180230125 , xnext:  0.828489261627
x:  0.828489261627 , xnext:  0.539960258983
x:  0.539960258983 , xnext:  0.943932075268
x:  0.943932075268 , xnext:  0.201112387685
x:  0.201112387685 , xnext:  0.610531541777
x:  0.610531541777 , xnext:  0.903574557435
x:  0.903574557435 , xnext:  0.331084791046
x:  0.331084791046 , xnext:  0.841577078299
x:  0.841577078299 , xnext:  0.506635378406
x:  0.506635378406 , xnext:  0.949832692663
x:  0.949832692663 , xnext:  0.181072084724
x:  0.181072084724 , xnext:  0.563482942459
x:  0.563482942459 , xnext:  0.934685680863
x:  0.934685680863 , xnext:  0.231983763639
x:  0.231983763639 , xnext:  0.677035728778
x:  0.677035728778 , xnext:  0.830901732797
x:  0.830901732797 , xnext:  0.533915364281
x:  0.533915364281 , xnext:  0.94562904265
x:  0.94562904265 , xnext:  0.195376074119
x:  0.195376074119 , xnext:  0.597376202367
x:  0.597376202367 , xnext:  0.913967925808
x:  0.913967925808 , xnext:  0.298796114329
x:  0.298796114329 , xnext:  0.796164586286
x:  0.796164586286 , xnext:  0.616688843754
x:  0.616688843754 , xnext:  0.898258112224
x:  0.898258112224 , xnext:  0.34728380898
x:  0.34728380898 , xnext:  0.861375507002
x:  0.861375507002 , xnext:  0.453749423169
x:  0.453749423169 , xnext:  0.941871359743
x:  0.941871359743 , xnext:  0.208048865469
x:  0.208048865469 , xnext:  0.626105233175
x:  0.626105233175 , xnext:  0.88957038663
x:  0.88957038663 , xnext:  0.373292672672
x:  0.373292672672 , xnext:  0.888991962165
x:  0.888991962165 , xnext:  0.37500396281
x:  0.37500396281 , xnext:  0.89062876461
x:  0.89062876461 , xnext:  0.370154839385
x:  0.370154839385 , xnext:  0.885932890207
x:  0.885932890207 , xnext:  0.384012056176
x:  0.384012056176 , xnext:  0.898877828172
x:  0.898877828172 , xnext:  0.345406617133
x:  0.345406617133 , xnext:  0.8591833667
x:  0.8591833667 , xnext:  0.459751774528
x:  0.459751774528 , xnext:  0.943844305316
x:  0.943844305316 , xnext:  0.201408484026
x:  0.201408484026 , xnext:  0.611203805036
x:  0.611203805036 , xnext:  0.903008112233
x:  0.903008112233 , xnext:  0.332820953603
x:  0.332820953603 , xnext:  0.843794432494
x:  0.843794432494 , xnext:  0.500860475107
x:  0.500860475107 , xnext:  0.949997186414
x:  0.949997186414 , xnext:  0.180509622435
x:  0.180509622435 , xnext:  0.562118414844
x:  0.562118414844 , xnext:  0.935336949642
x:  0.935336949642 , xnext:  0.229830613051
x:  0.229830613051 , xnext:  0.672632308952
x:  0.672632308952 , xnext:  0.836752726443
x:  0.836752726443 , xnext:  0.519070884687
x:  0.519070884687 , xnext:  0.948617945158
x:  0.948617945158 , xnext:  0.185219369274
x:  0.185219369274 , xnext:  0.573469987175
x:  0.573469987175 , xnext:  0.929488211741
x:  0.929488211741 , xnext:  0.249051528706
x:  0.249051528706 , xnext:  0.710694486069
x:  0.710694486069 , xnext:  0.781309767452
x:  0.781309767452 , xnext:  0.649286295997
x:  0.649286295997 , xnext:  0.865311686945
x:  0.865311686945 , xnext:  0.44288001125
x:  0.44288001125 , xnext:  0.937601766164
x:  0.937601766164 , xnext:  0.222317838152
x:  0.222317838152 , xnext:  0.656991944566
x:  0.656991944566 , xnext:  0.856343411497
x:  0.856343411497 , xnext:  0.467473617715
x:  0.467473617715 , xnext:  0.945979730931
x:  0.945979730931 , xnext:  0.194187902476
x:  0.194187902476 , xnext:  0.594620051831
x:  0.594620051831 , xnext:  0.915978774007
x:  0.915978774007 , xnext:  0.292454306386
x:  0.292454306386 , xnext:  0.786314183236
x:  0.786314183236 , xnext:  0.638491916215
x:  0.638491916215 , xnext:  0.877115958744
x:  0.877115958744 , xnext:  0.409577503911
x:  0.409577503911 , xnext:  0.918930334364
x:  0.918930334364 , xnext:  0.283090024809
x:  0.283090024809 , xnext:  0.771210238118
x:  0.771210238118 , xnext:  0.670491025611
x:  0.670491025611 , xnext:  0.839544678707
x:  0.839544678707 , xnext:  0.511895762416
x:  0.511895762416 , xnext:  0.949462265179
x:  0.949462265179 , xnext:  0.182337954285
x:  0.182337954285 , xnext:  0.566545133906
x:  0.566545133906 , xnext:  0.933172631583
x:  0.933172631583 , xnext:  0.23697359074
x:  0.23697359074 , xnext:  0.687105010522
x:  0.687105010522 , xnext:  0.816968517143
x:  0.816968517143 , xnext:  0.568217644732
x:  0.568217644732 , xnext:  0.932316141199
x:  0.932316141199 , xnext:  0.239790465422
x:  0.239790465422 , xnext:  0.692705792836
x:  0.692705792836 , xnext:  0.808885014148
x:  0.808885014148 , xnext:  0.587442182533
x:  0.587442182533 , xnext:  0.920944685913
x:  0.920944685913 , xnext:  0.276661171327
x:  0.276661171327 , xnext:  0.760455116906
x:  0.760455116906 , xnext:  0.692219901894
x:  0.692219901894 , xnext:  0.8095957354
x:  0.8095957354 , xnext:  0.585771826365
x:  0.585771826365 , xnext:  0.922044136448
x:  0.922044136448 , xnext:  0.273139238183
x:  0.273139238183 , xnext:  0.754429940042
x:  0.754429940042 , xnext:  0.70400854132
x:  0.70400854132 , xnext:  0.791845957261
x:  0.791845957261 , xnext:  0.626338561476
x:  0.626338561476 , xnext:  0.889346557959
x:  0.889346557959 , xnext:  0.37395517966
x:  0.37395517966 , xnext:  0.889628272408
x:  0.889628272408 , xnext:  0.373121275492
x:  0.373121275492 , xnext:  0.888826799216
x:  0.888826799216 , xnext:  0.375492136805
x:  0.375492136805 , xnext:  0.89109160961
x:  0.89109160961 , xnext:  0.368779940993
x:  0.368779940993 , xnext:  0.884568925234
x:  0.884568925234 , xnext:  0.388005618629
x:  0.388005618629 , xnext:  0.902337582457
x:  0.902337582457 , xnext:  0.334872985022
x:  0.334872985022 , xnext:  0.846385661913
x:  0.846385661913 , xnext:  0.494064498239
x:  0.494064498239 , xnext:  0.949866125312
x:  0.949866125312 , xnext:  0.180957783329
x:  0.180957783329 , xnext:  0.56320584313
x:  0.56320584313 , xnext:  0.934819081298
x:  0.934819081298 , xnext:  0.231542992849
x:  0.231542992849 , xnext:  0.676137174184
x:  0.676137174184 , xnext:  0.832107644307
x:  0.832107644307 , xnext:  0.530877147852
x:  0.530877147852 , xnext:  0.946377086614
x:  0.946377086614 , xnext:  0.192840486875
x:  0.192840486875 , xnext:  0.591481527288
x:  0.591481527288 , xnext:  0.918198294627
x:  0.918198294627 , xnext:  0.28541870821
x:  0.28541870821 , xnext:  0.775028503012
x:  0.775028503012 , xnext:  0.662565425617
x:  0.662565425617 , xnext:  0.849575433097
x:  0.849575433097 , xnext:  0.485628662985
x:  0.485628662985 , xnext:  0.949215165755
x:  0.949215165755 , xnext:  0.183181792451
x:  0.183181792451 , xnext:  0.56857964879
x:  0.56857964879 , xnext:  0.932127960733
x:  0.932127960733 , xnext:  0.2404086171
x:  0.2404086171 , xnext:  0.693926792911
x:  0.693926792911 , xnext:  0.807091116167
x:  0.807091116167 , xnext:  0.591641176212
x:  0.591641176212 , xnext:  0.918087200326
x:  0.918087200326 , xnext:  0.285771753111
x:  0.285771753111 , xnext:  0.775603781292
x:  0.775603781292 , xnext:  0.661361711803
x:  0.661361711803 , xnext:  0.851057112263
x:  0.851057112263 , xnext:  0.481683834932
x:  0.481683834932 , xnext:  0.948725168769
x:  0.948725168769 , xnext:  0.184853747069
x:  0.184853747069 , xnext:  0.572594789202
x:  0.572594789202 , xnext:  0.929973987007
x:  0.929973987007 , xnext:  0.247465007891
x:  0.247465007891 , xnext:  0.70765909549
x:  0.70765909549 , xnext:  0.78613526023
x:  0.78613526023 , xnext:  0.638881128842
x:  0.638881128842 , xnext:  0.876705721795
x:  0.876705721795 , xnext:  0.410752636833
x:  0.410752636833 , xnext:  0.919732651037
x:  0.919732651037 , xnext:  0.280533106282
x:  0.280533106282 , xnext:  0.766970273735
x:  0.766970273735 , xnext:  0.679162117179
x:  0.679162117179 , xnext:  0.828023555918
x:  0.828023555918 , xnext:  0.541122077699
x:  0.541122077699 , xnext:  0.943574103958
x:  0.943574103958 , xnext:  0.202319654333
x:  0.202319654333 , xnext:  0.613268364853
x:  0.613268364853 , xnext:  0.901247054589
x:  0.901247054589 , xnext:  0.338203044497
x:  0.338203044497 , xnext:  0.850522631722
x:  0.850522631722 , xnext:  0.483108761673
x:  0.483108761673 , xnext:  0.948915807058
x:  0.948915807058 , xnext:  0.184203473061
x:  0.184203473061 , xnext:  0.571035703578
x:  0.571035703578 , xnext:  0.930824929505
x:  0.930824929505 , xnext:  0.244681544444
x:  0.244681544444 , xnext:  0.702287447759
x:  0.702287447759 , xnext:  0.794503196221
x:  0.794503196221 , xnext:  0.620417896179
x:  0.620417896179 , xnext:  0.894898215064
x:  0.894898215064 , xnext:  0.35741051901
x:  0.35741051901 , xnext:  0.872739311662
x:  0.872739311662 , xnext:  0.422048541058
x:  0.422048541058 , xnext:  0.926909566186
x:  0.926909566186 , xnext:  0.257443244737
x:  0.257443244737 , xnext:  0.72643163781
x:  0.72643163781 , xnext:  0.755169110915
x:  0.755169110915 , xnext:  0.702577154372
x:  0.702577154372 , xnext:  0.794057486801
x:  0.794057486801 , xnext:  0.621414738935
x:  0.621414738935 , xnext:  0.893982152444
x:  0.893982152444 , xnext:  0.360156641512
x:  0.360156641512 , xnext:  0.87568657333
x:  0.87568657333 , xnext:  0.413666474755
x:  0.413666474755 , xnext:  0.921676785192
x:  0.921676785192 , xnext:  0.274317017556
x:  0.274317017556 , xnext:  0.756455327453
x:  0.756455327453 , xnext:  0.700076527079
x:  0.700076527079 , xnext:  0.797883656586
x:  0.797883656586 , xnext:  0.612808243128
x:  0.612808243128 , xnext:  0.901642341073
x:  0.901642341073 , xnext:  0.336997033459
x:  0.336997033459 , xnext:  0.849034125015
x:  0.849034125015 , xnext:  0.487065682385
x:  0.487065682385 , xnext:  0.949364273026
x:  0.949364273026 , xnext:  0.182672650487
x:  0.182672650487 , xnext:  0.567352742353
x:  0.567352742353 , xnext:  0.932761710771
x:  0.932761710771 , xnext:  0.238325746426
x:  0.238325746426 , xnext:  0.689801023062
x:  0.689801023062 , xnext:  0.81310717225
x:  0.81310717225 , xnext:  0.577462815005
x:  0.577462815005 , xnext:  0.927198146707
x:  0.927198146707 , xnext:  0.256506625109
x:  0.256506625109 , xnext:  0.72470171026
x:  0.72470171026 , xnext:  0.758134737344
x:  0.758134737344 , xnext:  0.69679253803
x:  0.69679253803 , xnext:  0.802836248508
x:  0.802836248508 , xnext:  0.601502785041
x:  0.601502785041 , xnext:  0.91084930159
x:  0.91084930159 , xnext:  0.308570835255
x:  0.308570835255 , xnext:  0.810748524563
x:  0.810748524563 , xnext:  0.583054347031
x:  0.583054347031 , xnext:  0.923787506669
x:  0.923787506669 , xnext:  0.267535766927
x:  0.267535766927 , xnext:  0.744649445298
x:  0.744649445298 , xnext:  0.722557265879
x:  0.722557265879 , xnext:  0.761779400938
x:  0.761779400938 , xnext:  0.68959187193
x:  0.68959187193 , xnext:  0.813408703973
x:  0.813408703973 , xnext:  0.576744940241
x:  0.576744940241 , xnext:  0.92761881376
x:  0.92761881376 , xnext:  0.255140170451
x:  0.255140170451 , xnext:  0.722165922717
x:  0.722165922717 , xnext:  0.762440750576
x:  0.762440750576 , xnext:  0.688274439261
x:  0.688274439261 , xnext:  0.815300394979
x:  0.815300394979 , xnext:  0.572225511519
x:  0.572225511519 , xnext:  0.930177206846
x:  0.930177206846 , xnext:  0.246800768699
x:  0.246800768699 , xnext:  0.70638256722
x:  0.70638256722 , xnext:  0.788143696601
x:  0.788143696601 , xnext:  0.634498198414
x:  0.634498198414 , xnext:  0.881258891568
x:  0.881258891568 , xnext:  0.39763829888
x:  0.39763829888 , xnext:  0.910183912147
x:  0.910183912147 , xnext:  0.310646801221
x:  0.310646801221 , xnext:  0.813752391227
x:  0.813752391227 , xnext:  0.575925860598
x:  0.575925860598 , xnext:  0.928094002031
x:  0.928094002031 , xnext:  0.253594996615
x:  0.253594996615 , xnext:  0.719281382366
x:  0.719281382366 , xnext:  0.767279566321
x:  0.767279566321 , xnext:  0.678534207023
x:  0.678534207023 , xnext:  0.828877040307
x:  0.828877040307 , xnext:  0.538991590965
x:  0.538991590965 , xnext:  0.944222692169
x:  0.944222692169 , xnext:  0.200131559095
x:  0.200131559095 , xnext:  0.608299888966
x:  0.608299888966 , xnext:  0.90543030939
x:  0.90543030939 , xnext:  0.325379804068
x:  0.325379804068 , xnext:  0.834129591256
x:  0.834129591256 , xnext:  0.52575818174
x:  0.52575818174 , xnext:  0.947478761079
x:  0.947478761079 , xnext:  0.189098481856
x:  0.189098481856 , xnext:  0.582692934859
x:  0.582692934859 , xnext:  0.924015138393
x:  0.924015138393 , xnext:  0.266802417172
x:  0.266802417172 , xnext:  0.743351771981
x:  0.743351771981 , xnext:  0.72496367728
x:  0.72496367728 , xnext:  0.757687106837
x:  0.757687106837 , xnext:  0.697669948886
x:  0.697669948886 , xnext:  0.801521046968
x:  0.801521046968 , xnext:  0.604523221295
x:  0.604523221295 , xnext:  0.908484605599
x:  0.908484605599 , xnext:  0.315933242557
x:  0.315933242557 , xnext:  0.821253829457
x:  0.821253829457 , xnext:  0.557824712824
x:  0.557824712824 , xnext:  0.93729394983
x:  0.93729394983 , xnext:  0.223341205481
x:  0.223341205481 , xnext:  0.659147663378
x:  0.659147663378 , xnext:  0.853753680717
x:  0.853753680717 , xnext:  0.47446166684
