x:  0.7 , xnext:  0.63
x:  0.63 , xnext:  0.6993
x:  0.6993 , xnext:  0.63083853
x:  0.63083853 , xnext:  0.698643837202
x:  0.698643837202 , xnext:  0.631621877825
x:  0.631621877825 , xnext:  0.698027043834
x:  0.698027043834 , xnext:  0.632355869731
x:  0.632355869731 , xnext:  0.697445771243
x:  0.697445771243 , xnext:  0.633045502255
x:  0.633045502255 , xnext:  0.696896682989
x:  0.696896682989 , xnext:  0.633695088683
x:  0.633695088683 , xnext:  0.696376869786
x:  0.696376869786 , xnext:  0.634308375039
x:  0.634308375039 , xnext:  0.695883781183
x:  0.695883781183 , xnext:  0.634888632809
x:  0.634888632809 , xnext:  0.695415170217
x:  0.695415170217 , xnext:  0.635438733747
x:  0.635438733747 , xnext:  0.694969048203
x:  0.694969048203 , xnext:  0.635961210728
x:  0.635961210728 , xnext:  0.694543647532
x:  0.694543647532 , xnext:  0.636458307615
x:  0.636458307615 , xnext:  0.694137390848
x:  0.694137390848 , xnext:  0.636932020424
x:  0.636932020424 , xnext:  0.693748865348
x:  0.693748865348 , xnext:  0.637384131529
x:  0.637384131529 , xnext:  0.693376801212
x:  0.693376801212 , xnext:  0.637816238259
x:  0.637816238259 , xnext:  0.693020053416
x:  0.693020053416 , xnext:  0.638229776937
x:  0.638229776937 , xnext:  0.692677586304
x:  0.692677586304 , xnext:  0.638626043209
x:  0.638626043209 , xnext:  0.692348460433
x:  0.692348460433 , xnext:  0.639006209307
x:  0.639006209307 , xnext:  0.692031821322
x:  0.692031821322 , xnext:  0.639371338799
x:  0.639371338799 , xnext:  0.691726889764
x:  0.691726889764 , xnext:  0.639722399224
x:  0.639722399224 , xnext:  0.691432953465
x:  0.691432953465 , xnext:  0.640060272983
x:  0.640060272983 , xnext:  0.691149359796
x:  0.691149359796 , xnext:  0.640385766749
x:  0.640385766749 , xnext:  0.690875509483
x:  0.690875509483 , xnext:  0.640699619639
x:  0.640699619639 , xnext:  0.6906108511
x:  0.6906108511 , xnext:  0.641002510328
x:  0.641002510328 , xnext:  0.690354876243
x:  0.690354876243 , xnext:  0.641295063271
x:  0.641295063271 , xnext:  0.690107115286
x:  0.690107115286 , xnext:  0.641577854153
x:  0.641577854153 , xnext:  0.68986713364
x:  0.68986713364 , xnext:  0.64185141469
x:  0.64185141469 , xnext:  0.689634528451
x:  0.689634528451 , xnext:  0.642116236857
x:  0.642116236857 , xnext:  0.689408925665
x:  0.689408925665 , xnext:  0.642372776636
x:  0.642372776636 , xnext:  0.689189977419
x:  0.689189977419 , xnext:  0.642621457332
x:  0.642621457332 , xnext:  0.688977359725
x:  0.688977359725 , xnext:  0.642862672534
x:  0.642862672534 , xnext:  0.688770770389
x:  0.688770770389 , xnext:  0.64309678874
x:  0.64309678874 , xnext:  0.688569927157
x:  0.688569927157 , xnext:  0.643324147716
x:  0.643324147716 , xnext:  0.688374566044
x:  0.688374566044 , xnext:  0.643545068603
x:  0.643545068603 , xnext:  0.68818443984
x:  0.68818443984 , xnext:  0.643759849807
x:  0.643759849807 , xnext:  0.687999316751
x:  0.687999316751 , xnext:  0.643968770704
x:  0.643968770704 , xnext:  0.687818979186
x:  0.687818979186 , xnext:  0.644172093173
x:  0.644172093173 , xnext:  0.687643222651
x:  0.687643222651 , xnext:  0.64437006298
x:  0.64437006298 , xnext:  0.687471854746
x:  0.687471854746 , xnext:  0.644562911035
x:  0.644562911035 , xnext:  0.68730469426
x:  0.68730469426 , xnext:  0.644750854525
x:  0.644750854525 , xnext:  0.687141570343
x:  0.687141570343 , xnext:  0.644934097949
x:  0.644934097949 , xnext:  0.686982321755
x:  0.686982321755 , xnext:  0.645112834053
x:  0.645112834053 , xnext:  0.686826796179
x:  0.686826796179 , xnext:  0.645287244688
x:  0.645287244688 , xnext:  0.686674849593
x:  0.686674849593 , xnext:  0.645457501589
x:  0.645457501589 , xnext:  0.686526345695
x:  0.686526345695 , xnext:  0.645623767085
x:  0.645623767085 , xnext:  0.68638115538
x:  0.68638115538 , xnext:  0.645786194758
x:  0.645786194758 , xnext:  0.686239156254
x:  0.686239156254 , xnext:  0.645944930033
x:  0.645944930033 , xnext:  0.686100232193
x:  0.686100232193 , xnext:  0.646100110734
x:  0.646100110734 , xnext:  0.685964272931
x:  0.685964272931 , xnext:  0.64625186758
x:  0.64625186758 , xnext:  0.685831173688
x:  0.685831173688 , xnext:  0.646400324657
