Frequency (Hz)	Level (dB)
0.672913	-62.441639
1.345825	-62.169125
2.018738	-62.596680
2.691650	-62.435341
3.364563	-62.491512
4.037476	-62.324982
4.710388	-62.319332
5.383301	-62.574402
6.056213	-62.731808
6.729126	-63.209377
7.402039	-62.866581
8.074951	-62.319374
8.747864	-61.893841
9.420776	-61.764057
10.093689	-61.096363
10.766602	-60.369347
11.439514	-60.220436
12.112427	-60.089252
12.785339	-59.653881
13.458252	-58.589279
14.131165	-58.135170
14.804077	-57.542133
15.476990	-56.801590
16.149902	-56.309196
16.822815	-56.042324
17.495728	-55.585701
18.168640	-55.107616
18.841553	-54.708546
19.514465	-53.896568
20.187378	-52.786289
20.860291	-51.976612
21.533203	-51.543247
22.206116	-50.694820
22.879028	-49.658577
23.551941	-48.972591
24.224854	-48.789234
24.897766	-48.127544
25.570679	-47.080601
26.243591	-45.915409
26.916504	-45.297653
27.589417	-44.554771
28.262329	-44.047054
28.935242	-43.729496
29.608154	-43.619240
30.281067	-43.927971
30.953979	-44.083576
31.626892	-43.837139
32.299805	-43.541279
32.972717	-43.246738
33.645630	-43.160736
34.318542	-43.071251
34.991455	-42.639336
35.664368	-42.119728
36.337280	-41.869030
37.010193	-41.967686
37.683105	-42.241291
38.356018	-42.333435
39.028931	-42.109104
39.701843	-41.863495
40.374756	-41.329510
41.047668	-41.114426
41.720581	-41.485867
42.393494	-41.438988
43.066406	-41.433475
43.739319	-41.384125
44.412231	-41.040680
45.085144	-37.377674
45.758057	-34.916443
46.430969	-37.210648
47.103882	-40.374557
47.776794	-40.073162
48.449707	-36.648705
49.122620	-30.859550
49.795532	-33.995079
50.468445	-40.495361
51.141357	-41.182869
51.814270	-41.466137
52.487183	-41.306980
53.160095	-41.376404
53.833008	-41.460758
54.505920	-41.408466
55.178833	-41.489643
55.851746	-41.636215
56.524658	-41.112858
57.197571	-41.193436
57.870483	-41.387032
58.543396	-41.380501
59.216309	-41.121952
59.889221	-41.359776
60.562134	-41.549820
61.235046	-41.448997
61.907959	-41.268356
